"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Allied_Number","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS Part Number","RS Price/Stock"
"1","1","BT301","RTC Battery","Device:Battery_Cell","Battery:BatteryHolder_Keystone_106_1x20mm","https://www.mouser.co.uk/datasheet/2/215/06-745914.pdf","","","","","106","534-106","","",""
"2","1","C4","PPWR","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","","","","","","667-EEF-CS1D100R","","",""
"3","12","C5, C6, C9, C10, C201, C202, C203, C204, C301, C302, C303, C304","100n/0.1u PWR","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","80-C1206X104G4HACTU","","",""
"4","2","C101, C305","22p XTAL","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","C0805C220J1GACTU","","","",""
"5","1","C102","20p XTAL","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","C0805C220J1GACTU","","","",""
"6","1","C306","33p XTAL","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","C0805C220J1GACTU","","","",""
"8","1","J1","80188","MCU_Intel:80188","80C188:PLCC-68_SMD-Socket","http://datasheets.chipdb.org/Intel/x86/8018x/datashts/27243002.PDF","","","","","8468-11B1-RK-TP","517-8468-11B1-RK-TP ","","",""
"9","1","J2","PC/104 ISA","Connector_Generic:Conn_02x32_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x32_P2.54mm_Vertical","~","","","","","","","","",""
"10","1","J4","256K ROM","Memory_EPROM:27C020","69802-132LF:69802132LF","https://www.mouser.co.uk/datasheet/2/268/20005023B-709002.pdf","","","","","SST39SF020A-70-4C-NHE","804-39SF020A7CNHE ","","",""
"11","1","J201","22V10/16V8","Logic_Programmable:PAL24","Package_DIP:DIP-24_W7.62mm_Socket_LongPads","~","","","","","","","","",""
"12","1","J202","SYSBUS","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","~","","","","","","","","",""
"13","1","J302","UART2","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinSocket_1.27mm:PinSocket_2x05_P1.27mm_Vertical","~","","","","","","","","",""
"14","1","J303","USB B","Connector:USB_B","A-USB_B_SMT:AUSBBSMT","http://uk.rs-online.com/web/p/products/6741331P","R1074095","","","","A-USB B/SMT","","","6741331P","http://uk.rs-online.com/web/p/products/6741331P"
"15","1","R1","TMR1 >","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA","","",""
"16","1","R2","ARDY","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA","","",""
"17","1","R3","SRDY","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA","","",""
"18","1","R4","TMR0 >","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA","","",""
"19","1","R101","PullUp","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA","","",""
"20","1","R201","Limit","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","SFR18EZPJ000","755-SFR18EZPJ000","","",""
"21","1","R302","R4k7","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","CR1206-JW-472ELF ","652-CR1206-JW-472ELF","","",""
"22","1","R303","R10k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","CR1206-JW-103ELF ","652-CR1206JW-103ELF","","",""
"23","1","R304","PullDown","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA","","",""
"24","1","S1","PWR","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","","","","","","","","",""
"25","1","SW201","RESET","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP7A","https://www.mouser.co.uk/datasheet/2/315/sw_lt_eng_3529s_side-1289027.pdf","","","","","EVQ-P7J01P","667-EVQP7J01P","","",""
"27","1","U4","128K SRAM","Memory_RAM:628128_DIP32_SSOP32","Package_SO:SSOP-32_11.305x20.495mm_P1.27mm","https://www.issi.com/WW/pdf/62-65C1024AL.pdf","","62C1024 128KB SRAM","","ISSI","IS62C1024AL-35QLI","","","",""
"28","2","U201, U203","74LS573","74xx:74LS573","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","74xx/74hc573.pdf","","","","","74VHCT573AFT","","","171-3540",""
"29","1","U202","74LS245","74xx:74LS245","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","https://www.mouser.co.uk/datasheet/2/308/1/MC74HCT245A_D-2315802.pdf","","","","Texas Instruments","MC74HCT245ADWG","863-MC74HCT245ADWG","","",""
"30","1","U204","TLV809EA45DBZR","Power_Supervisor:TCM809","Package_TO_SOT_SMD:SOT-23","https://www.ti.com/lit/ds/symlink/tlv809e.pdf","","","","","","","","",""
"31","1","U301","SC16C752B","SC16C752BIB48_157:SC16C752BIB48,157","Package_QFP:TQFP-48_7x7mm_P0.5mm","http://www.nxp.com/docs/en/data-sheet/SC16C752B.pdf","","UART Interface IC 2CH. UART 64B FIFO","1.6","NXP","SC16C752BIB48,157","771-SC16C752BIB48","https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/SC16C752BIB48157?qs=LOCUfHb8d9sKsb5zIyQ%2FFA%3D%3D","",""
"32","1","U302","FT231XS","Interface_USB:FT231XS","Package_SO:SSOP-20_3.9x8.7mm_P0.635mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf","","","","","","","","",""
"33","1","U303","DS12885T","DS12885T:DS12885T","Package_QFP:TQFP-32_7x7mm_P0.8mm","","","","","","","","","",""
"34","1","Y1","16MHz","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering","~","","RS PRO 16MHz Crystal Â±30ppm SMT 4-Pin 6 x 3.5 x 1mm ","","","","","","",""
"35","1","Y301","18.432MHz","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","https://www.mouser.co.uk/datasheet/2/445/830105961709-2005258.pdf","","","","","830105961709","710-830105961709","","",""
"36","1","Y302","32.768kHz","Device:Crystal_Small","Crystal:Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering","https://www.mouser.co.uk/datasheet/2/122/ECX_34R-845158.pdf","","","","","ECS-.327-6-34R-TR","520-.327-6-34RT","","",""
