"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number"
"1","2","C1, C2","20p XTAL","Device:C_Small","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","","","","GJM1555C1H200FB01D",""
"2","1","C3","1u BTN","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","80-C0805C105M3RECLR"
"3","1","C4","PPWR","Device:C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","","","","","667-EEF-CS1D100R"
"4","6","C5, C6, C7, C8, C9, C10","100n/0.1u PWR","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","80-C1206X104G4HACTU"
"5","1","J1","80188","MCU_Intel:80188","80C188:PGA68-N","http://datasheets.chipdb.org/Intel/x86/8018x/datashts/27243002.PDF","","","","8468-11B1-RK-TP","517-8468-11B1-RK-TP "
"6","1","J2","PC XT ISA","Connector:Bus_ISA_8bit","ISA-X:ISA-X","https://en.wikipedia.org/wiki/Industry_Standard_Architecture","","","","",""
"7","1","J3","GAL16V8","Logic_Programmable:GAL16V8","Package_DIP:DIP-20_W7.62mm","https://www.mouser.co.uk/datasheet/2/268/doc0453-1369001.pdf","","","Microchip Technology","ATF16V8CZ-15PU","556-AF16V8CZ15PU"
"8","1","J4","SST39SF020","Memory_EPROM:27C020","Package_LCC:PLCC-32_THT-Socket","https://www.mouser.co.uk/datasheet/2/268/20005023B-709002.pdf","","","","SST39SF020A-70-4C-NHE","804-39SF020A7CNHE "
"9","1","J5","8259","Interface:8259","Package_LCC:PLCC-28_THT-Socket","http://pdos.csail.mit.edu/6.828/2005/readings/hardware/8259A.pdf","","","","",""
"10","1","JP1","IRQ2","Jumper:SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","",""
"11","1","JP2","IRQ3","Jumper:SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","",""
"12","1","R1","PullUP","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA"
"13","3","R2, R3, R4","Limit","Device:R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1206 SMD 20 Kohms","","","","71-RCC120620K0FKEA"
"14","1","SW1","RESET","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP7A","https://www.mouser.co.uk/datasheet/2/315/sw_lt_eng_3529s_side-1289027.pdf","","","","EVQ-P7J01P","667-EVQP7J01P"
"15","1","U1","SN74ABT16841DL","SN74ABT16841DL:SN74ABT16841DL","SOP64P1035X279-56N","http://www.ti.com/lit/gpn/sn74abt16841","20-Bit Bus-Interface D-Type Latches With 3-State Outputs","2.79","Texas Instruments","74ACT16841DL","595-74ACT16841DL"
"16","1","U2","74LS245","74xx:74LS245","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS245","","","Texas Instruments","SN74LS245DW","595-SN74LS245DW"
"17","1","U3","SRAM","Memory_RAM:628128_DIP32_SSOP32","Package_SO:SSOP-32_11.305x20.495mm_P1.27mm","http://www.futurlec.com/Datasheet/Memory/628128.pdf","628128 128KB SRAM","","ISSI","IS62C1024AL-35QLI",""
"18","1","Y1","16MHz","Device:Crystal_GND24_Small","Crystal:Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering","~","RS PRO 16MHz Crystal Â±30ppm SMT 4-Pin 6 x 3.5 x 1mm ","","","",""
